country,Region,Surface area (km2),Population in thousands (2017),"Sex ratio (m per 100 f, 2017)",Unemployment (% of labour force),Health: Total expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Health Care Index,Cost of Living,Pollution index,Adjusted net national income per capita (constant 2010 US$)
Slovenia,SouthernEurope,20273,2080,98.6,8.1,9.2,73.1,143,154,135,64.35,53.24,26.37,20396.04433
South Africa,SouthernAfrica,1221037,56717,96.4,26,8.8,51.9,581,7102,122,61.72,43.12,63.56,6181.729998
Spain,SouthernEurope,505944,46354,96.2,18.3,9,78.7,617,1432,102,76.65,54.98,37.46,27021.26196
Sri Lanka,SouthernAsia,65610,20877,92.5,5.2,3.5,30,587,179,20,80.04,33.47,61.9,3666.867163
Sweden,NorthernEurope,438574,9911,100.2,7.3,11.9,90.6,54,1428,206,70.64,75.88,17.87,48316.27676
Switzerland,WesternEurope,41291,8476,98.2,4.6,11.7,88,74,552,126,71.04,122.06,20.77,60640.14866
Thailand,South-easternAsia,513120,69038,95.2,0.6,4.1,39.3,611,3338,83,80.66,43.71,73.23,4783.331667
The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,100,27.3,6.5,70.4,110,53,53,63.46,30.93,83.38,4432.662783
Turkey,WesternAsia,783562,80745,97,10.8,5.4,53.7,388,1303,65,71.68,38.6,70.46,12064.01656
Ukraine,EasternEurope,603500,44223,86,8.8,7.1,49.3,102,3203,98,49.81,26.22,67.26,2845.424466
United Arab Emirates,WesternAsia,83600,9400,262.4,3.7,3.6,91.2,56,8642,366,60.49,67.98,58.52,37929.27436
United Kingdom,NorthernEurope,242495,66182,97.4,5,9.1,92,102,4482,116,74.28,69.49,34.88,36564.26445
United States of America,NorthernAmerica,9833517,324460,98,4.9,17.1,74.6,1513,83887,289,68.22,75.42,31.19,46371.35483
Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,99,6.6,5.3,61.9,328,7460,90,36.9,38.3,72.9,
Vietnam,South-easternAsia,330967,95541,98,2.2,7.1,52.7,616,2977,30,47.87,40.11,88.1,1613.264805
